transaction_id,amount,merchant_risk_band,hour_of_day,is_international,days_since_last_transaction,distance_from_home_km,cardholder_age_years,is_fraud
50103,9.87,2,7,0,4,7,26,0
50104,27.36,3,14,0,8,49,37,0
50105,125.08,1,18,0,1,35,57,0
50106,134.48,1,2,0,1,31,40,0
50107,72.76,1,7,0,3,36,27,1
50108,34.77,3,6,0,4,5,46,0
50109,42.21,1,15,0,1,40,69,0
50110,8.57,1,9,0,1,12,43,0
50111,420.98,3,3,0,2,40,19,0
50112,6.87,1,4,0,3,41,31,0
50113,197.22,3,15,0,1,19,36,0
50114,2.99,3,13,0,5,34,44,0
50115,25.66,1,9,0,0,44,52,0
50116,59.75,1,20,0,2,2,56,0
50117,14.16,3,1,0,5,6,42,0
50118,5.18,3,8,0,1,27,30,0
50119,12.52,3,13,0,2,81,19,0
50120,26.42,1,21,0,3,14,47,0
50121,45.41,1,19,0,2,6,18,0
50122,31.21,1,16,1,2,24,70,0
50123,42.99,1,12,0,1,10,61,0
50124,56.37,3,11,0,1,156,65,0
50125,87.41,1,15,0,11,20,40,0
50126,20.06,3,15,0,2,16,45,0
50127,56.87,1,10,0,6,4,25,0
50128,7.93,2,19,0,1,6,56,0
50129,4.51,1,18,0,2,33,20,0
50130,19.96,1,23,0,3,5,40,0
50131,2072.77,3,10,0,4,37,29,0
50132,35.96,1,7,0,0,38,66,0
50133,109.09,1,7,0,2,58,50,1
50134,171.1,1,14,0,5,57,48,0
50135,24.41,1,7,0,3,30,39,0
50136,252.51,1,16,0,2,108,55,0
50137,69.65,1,21,0,5,4,67,0
50138,151.27,1,1,0,0,26,67,0
50139,47.27,3,19,0,0,8,83,0
50140,50.83,3,8,0,3,4,29,0
50141,233.44,3,13,0,1,43,35,0
50142,19.42,2,9,0,6,17,55,0
50143,56.37,1,9,0,1,17,44,0
50144,41.48,1,18,1,3,62,49,0
50145,43.89,3,9,0,4,11,21,0
50146,91.1,1,18,0,0,12,56,0
50147,56.89,2,9,0,10,6,37,0
50148,33.94,1,8,0,0,27,50,0
50149,332.9,1,17,0,6,38,41,0
50150,61.89,1,9,0,2,75,27,0
50151,16.34,1,1,0,2,1,69,0
50152,37.94,3,8,0,1,102,53,0
50153,37.73,3,18,0,1,16,44,0
50154,18.27,1,14,0,5,58,29,0
50155,20.92,1,11,0,1,57,55,0
50156,32.21,3,12,0,11,15,51,1
50157,71.75,1,7,1,3,101,30,0
50158,8.56,1,8,0,2,125,51,0
50159,78.1,1,3,0,2,118,42,0
50160,28.48,3,9,0,2,14,50,0
50161,9.06,1,8,0,1,34,52,0
50162,72.93,1,11,0,0,148,34,0
50163,55.72,1,14,0,4,14,51,0
50164,78.4,1,13,0,3,27,66,0
50165,157.16,1,17,0,3,5,54,0
50166,403.53,1,9,0,0,97,44,0
50167,41.51,1,6,0,1,77,45,0
50168,26.23,1,15,0,1,6,67,0
50169,31.96,3,3,0,1,6,66,1
50170,23.64,3,4,0,13,33,28,0
50171,18.39,1,16,0,0,16,52,0
50172,38.32,1,19,0,1,14,40,0
50173,5.15,1,2,0,5,109,25,0
50174,111.42,1,9,0,0,27,56,0
50175,59.61,1,10,1,0,4,52,0
50176,269.68,1,10,0,3,15,35,0
50177,12.27,2,20,0,3,4,40,0
50178,243.23,2,8,0,8,82,62,0
50179,128.88,1,23,0,1,31,38,0
50180,10.93,1,9,0,1,59,35,0
50181,9.07,3,2,0,3,36,27,1
50182,58.14,3,10,0,0,45,53,0
50183,80.17,3,12,0,3,34,22,0
50184,104.76,1,14,0,1,23,22,0
50185,16.61,1,14,0,6,40,40,0
50186,850.56,1,9,0,1,0,35,0
50187,8.75,2,22,0,0,7,24,0
50188,171.73,3,2,0,0,1,27,0
50189,3.93,1,13,0,7,42,19,0
50190,13.6,1,14,0,6,25,46,0
50191,118.88,1,9,0,8,32,24,0
50192,365.19,2,17,0,3,25,25,0
50193,161.57,1,9,0,7,0,42,0
50194,30.48,3,8,1,1,5,40,0
50195,8.41,1,14,0,0,46,45,0
50196,197.04,1,13,0,1,46,73,0
50197,29.93,3,16,0,10,23,34,0
50198,247.96,2,12,1,3,57,18,0
50199,167.28,3,1,0,0,26,57,0
50200,75.03,2,10,0,2,5,25,0
50201,13.16,1,12,0,5,56,55,0
50202,14.24,1,20,0,0,70,30,0
50203,82.83,1,11,1,4,20,44,0
50204,46.64,1,1,0,0,1,38,0
50205,443.78,3,20,0,1,28,37,0
50206,85.21,1,19,0,9,19,18,0
50207,76.41,1,13,0,2,23,35,0
50208,290.24,3,13,0,0,48,26,0
50209,16.92,3,22,1,4,17,49,0
50210,76.56,1,6,0,1,67,74,0
50211,12.82,1,16,0,4,33,43,0
50212,125.14,1,7,0,5,7,69,0
50213,305.5,1,1,0,2,48,18,0
50214,50.18,1,5,0,8,21,47,0
50215,4.37,1,5,0,8,70,38,0
50216,146.25,3,0,0,1,3,33,0
50217,280.11,1,13,0,2,47,18,0
50218,14.95,3,15,0,0,64,50,0
50219,16.49,1,17,1,1,21,56,0
50220,140.56,1,7,1,0,4,45,0
50221,11.84,3,11,0,4,1,20,0
50222,9.24,1,9,0,1,2,29,0
50223,12.22,1,11,0,2,3,37,0
50224,22.0,3,22,0,1,7,61,0
50225,104.05,1,11,0,0,13,25,0
50226,48.43,3,11,0,1,50,54,0
50227,136.4,1,19,0,3,27,63,0
50228,83.09,1,12,0,3,16,42,0
50229,228.43,2,11,1,1,10,48,0
50230,154.42,1,6,0,0,32,41,0
50231,9.35,3,16,0,2,47,24,0
50232,25.17,1,15,0,0,131,45,0
50233,208.06,3,20,0,2,97,30,0
50234,66.91,1,13,0,7,78,58,0
50235,19.94,1,6,0,2,11,57,0
50236,24.25,1,18,0,5,48,44,0
50237,122.05,1,3,0,4,30,37,0
50238,24.42,1,9,0,9,11,52,0
50239,172.06,1,13,0,3,9,33,0
50240,29.97,1,12,0,2,10,18,0
50241,270.57,1,15,0,1,72,29,0
50242,177.88,1,13,0,1,36,37,0
50243,18.5,1,13,0,1,56,26,0
50244,105.71,2,13,0,3,87,63,0
50245,6.46,3,9,1,4,6,21,0
50246,41.27,1,20,0,8,21,49,0
50247,37.13,2,9,0,10,7,44,0
50248,4.14,1,11,1,2,7,26,0
50249,3.78,1,20,0,7,63,43,0
50250,176.8,1,4,0,2,26,27,0
50251,35.33,1,12,0,1,8,45,0
50252,45.25,3,7,0,0,15,44,0
50253,25.18,3,17,0,5,20,18,0
50254,190.07,1,11,0,5,58,18,0
50255,5.23,1,20,0,4,126,65,0
50256,110.04,1,10,0,2,28,49,0
50257,479.71,1,21,0,0,60,34,0
50258,12.9,1,11,0,2,86,38,0
50259,10.42,1,23,0,0,86,37,0
50260,60.64,1,9,0,5,3,58,0
50261,85.43,3,12,0,14,9,37,0
50262,6.92,1,13,0,2,25,22,0
50263,23.03,1,17,0,1,8,36,0
50264,263.85,1,4,0,4,5,31,0
50265,441.25,1,16,0,1,57,40,0
50266,29.65,1,10,0,6,57,64,0
50267,43.5,3,10,0,2,13,22,0
50268,55.52,3,5,0,5,51,27,0
50269,2.0,1,7,0,0,19,53,0
50270,13.77,1,14,0,0,156,30,0
50271,34.32,3,1,0,1,9,60,0
50272,771.75,1,0,0,2,7,58,0
50273,63.59,2,20,0,1,24,54,0
50274,244.15,2,0,0,2,6,62,0
50275,28.62,2,6,0,9,20,57,1
50276,65.69,1,12,0,5,11,34,0
50277,10.5,3,7,0,3,27,79,0
50278,5.34,1,11,0,2,9,24,0
50279,8.39,1,14,0,2,52,43,0
50280,20.45,1,9,0,0,46,39,0
50281,31.98,3,4,0,0,10,67,0
50282,15.74,1,6,0,1,35,53,0
50283,2.0,3,5,0,2,12,54,0
50284,84.83,3,12,0,0,35,53,0
50285,11.22,1,4,0,0,4,32,0
50286,34.32,1,10,0,3,47,32,0
50287,12.51,3,6,1,1,28,72,0
50288,119.54,1,23,0,6,21,66,0
50289,3.3,3,19,0,3,82,42,0
50290,103.91,1,17,0,2,17,33,0
50291,17.61,3,16,0,5,23,48,0
50292,20.35,1,21,0,1,41,64,0
50293,32.73,2,8,0,2,35,50,0
50294,28.24,2,20,1,3,44,37,0
50295,189.63,1,11,0,1,66,44,0
50296,71.73,1,5,0,12,26,45,0
50297,174.32,1,13,0,1,5,68,0
50298,58.77,2,17,0,0,91,30,0
50299,25.75,2,16,0,2,144,46,0
50300,26.31,1,11,0,1,11,56,0
50301,3.84,1,11,0,4,129,28,0
50302,361.89,1,15,0,2,57,36,0
50303,25.81,3,10,0,18,150,57,0
50304,3.03,2,18,0,7,110,49,0
50305,8.02,1,11,0,2,27,54,0
50306,3.95,1,7,0,0,22,63,0
50307,11.92,1,3,0,12,59,42,0
50308,62.76,1,6,0,1,15,71,0
50309,2.08,1,13,0,2,23,67,0
50310,169.1,3,5,0,2,16,43,0
50311,13.42,1,10,0,8,31,54,0
50312,22.96,3,11,0,6,35,48,0
50313,27.6,3,5,1,5,8,21,1
50314,7.29,1,12,0,10,36,68,0
50315,77.14,1,16,0,1,7,30,0
50316,4.87,2,15,0,7,68,57,0
50317,225.21,3,5,0,4,26,43,0
50318,7.65,3,10,0,0,12,26,0
50319,28.94,1,7,0,4,48,60,0
50320,12.46,1,1,0,3,31,54,0
50321,125.86,2,16,0,2,39,33,0
50322,6.94,1,18,1,4,68,26,0
50323,188.5,1,9,0,3,0,46,0
50324,496.84,3,8,0,3,23,48,0
50325,5.0,1,9,0,6,3,55,0
50326,2.61,1,14,0,0,92,18,0
50327,21.37,1,22,0,1,19,64,0
50328,36.88,1,14,0,2,38,41,0
50329,22.81,3,23,1,2,83,53,1
50330,21.24,1,10,0,3,1,42,0
50331,74.95,1,4,0,1,12,56,0
50332,48.72,1,14,0,3,31,24,0
50333,3.85,2,9,0,6,37,24,0
50334,11.95,1,17,0,1,18,52,0
50335,173.57,3,9,0,1,62,63,0
50336,38.12,2,12,0,3,44,50,0
50337,29.46,1,11,0,1,23,29,0
50338,5.99,1,16,1,5,2,63,0
50339,82.4,1,19,0,1,41,45,0
50340,31.1,1,6,0,5,19,39,0
50341,31.06,2,23,0,1,8,51,0
50342,113.46,3,14,0,2,52,44,0
50343,8.09,1,17,0,1,27,30,0
50344,146.42,2,6,0,0,20,50,0
50345,47.21,1,9,0,4,49,30,0
50346,143.51,2,23,0,0,38,56,0
50347,22.03,1,11,0,6,15,43,0
50348,169.01,3,5,0,9,22,44,0
50349,2.0,1,9,0,1,33,57,0
50350,5.32,1,21,0,4,10,28,0
50351,9.59,1,7,0,2,1,41,0
50352,11.91,3,14,0,2,26,57,0
50353,133.22,1,14,1,2,19,40,0
50354,2.54,3,10,0,3,55,18,0
50355,101.89,2,14,0,0,42,47,0
50356,31.14,1,12,0,2,36,55,0
50357,7.36,1,22,0,5,71,52,0
50358,311.74,3,17,1,1,35,51,0
50359,5.5,1,19,0,3,34,38,0
50360,102.7,1,3,1,1,37,32,0
50361,176.62,1,11,0,2,6,52,0
50362,2.8,1,13,0,2,14,44,0
50363,8.22,1,12,0,0,18,39,0
50364,184.74,1,11,0,1,68,37,0
50365,40.05,1,21,0,1,20,46,0
50366,76.18,1,15,0,1,9,48,0
50367,35.29,1,17,0,0,43,35,0
50368,88.43,1,13,0,4,27,44,0
50369,6.69,1,14,0,4,40,21,0
50370,84.76,1,20,0,3,69,53,0
50371,26.0,1,19,0,1,4,48,0
50372,24.56,1,6,0,1,10,47,0
50373,5.51,1,14,0,5,7,39,0
50374,4.29,2,15,0,2,174,67,0
50375,26.87,3,1,0,1,105,36,0
50376,159.49,1,14,0,2,10,22,0
50377,41.94,1,18,0,1,131,37,0
50378,9.11,1,8,0,9,33,25,0
50379,25.74,1,9,0,2,23,18,0
50380,22.55,1,19,0,1,119,71,0
50381,11.08,1,14,1,2,14,35,0
50382,55.69,1,22,0,0,17,61,0
50383,9.2,1,20,0,1,51,49,0
50384,13.31,1,1,1,1,19,62,0
50385,7.82,1,9,0,8,25,31,0
50386,12.11,1,7,0,1,107,75,0
50387,238.76,1,7,1,2,23,28,0
50388,12.98,1,16,0,5,25,47,0
50389,17.44,1,14,0,3,33,37,0
50390,92.09,1,14,0,1,18,61,0
50391,125.97,2,18,0,6,2,52,0
50392,16.91,3,5,0,1,72,18,0
50393,167.07,1,10,0,1,39,40,0
50394,9.11,2,10,0,1,2,64,0
50395,79.22,1,5,0,0,4,33,0
50396,29.76,3,18,0,1,31,39,0
50397,57.53,1,18,1,1,5,43,0
50398,71.95,1,17,0,0,12,38,0
50399,30.09,3,6,0,1,4,62,0
50400,64.91,1,9,0,5,68,34,0
50401,91.08,1,8,0,3,190,45,0
50402,4.0,2,20,0,5,15,56,0
50403,10.55,1,12,0,5,8,48,0
50404,108.09,1,6,0,1,79,57,0
50405,2.71,3,7,0,1,18,38,0
50406,7.57,1,9,0,1,22,37,0
50407,245.78,1,15,0,4,9,46,0
50408,20.4,2,12,0,4,5,42,0
50409,42.94,1,18,0,0,21,45,0
50410,56.43,1,13,0,0,131,45,0
50411,59.88,1,12,0,0,21,49,0
50412,17.13,1,13,0,2,0,47,0
50413,21.04,1,18,0,8,89,53,0
50414,545.6,3,15,0,7,20,39,0
50415,5.96,3,12,0,2,46,55,0
50416,13.56,1,17,0,3,6,39,0
50417,7.36,3,5,0,3,54,78,0
50418,25.76,1,0,0,3,7,62,0
50419,10.0,2,14,0,0,95,71,0
50420,173.3,1,20,1,5,44,44,0
50421,262.1,2,8,1,1,27,31,0
50422,31.7,2,8,0,1,0,18,0
50423,8.83,2,20,0,3,2,28,0
50424,355.63,1,14,0,6,162,45,0
50425,12.37,1,16,0,1,23,66,0
50426,44.19,3,12,0,6,20,35,0
50427,53.45,1,22,0,9,38,38,0
50428,9.24,3,14,0,3,10,54,0
50429,19.15,1,3,0,1,6,18,0
50430,367.8,1,2,0,1,32,56,0
50431,47.21,1,14,0,9,17,62,0
50432,62.71,3,10,0,9,36,69,0
50433,95.39,1,6,0,2,20,47,0
50434,57.71,1,9,0,1,14,44,0
50435,122.83,3,22,0,0,6,51,0
50436,67.05,3,9,0,5,21,57,0
50437,27.87,1,18,0,1,129,59,0
50438,2017.5,1,10,1,10,0,45,0
50439,15.46,1,4,0,2,8,36,0
50440,20.22,3,8,0,11,68,31,0
50441,202.88,1,8,0,1,30,50,0
50442,93.56,1,21,0,1,2,50,0
50443,19.76,1,6,0,1,15,34,0
50444,17.92,3,9,0,14,14,43,0
50445,33.79,1,12,0,2,9,80,0
50446,51.02,3,7,0,2,16,65,0
50447,34.1,1,10,0,8,115,74,0
50448,17.36,1,6,0,1,57,56,0
50449,82.38,1,13,0,1,9,67,0
50450,37.17,3,10,0,0,76,34,0
50451,107.8,1,13,0,1,98,61,0
50452,41.71,3,6,0,6,4,51,0
50453,4.82,1,18,0,4,9,60,0
50454,65.38,1,13,0,8,75,46,0
50455,123.56,1,4,0,10,19,28,0
50456,58.27,1,11,0,1,82,36,0
50457,4.46,2,21,0,4,52,68,0
50458,51.03,1,10,0,0,4,30,0
50459,19.11,1,18,0,4,30,49,0
50460,38.12,3,9,0,0,70,41,0
50461,67.3,2,5,0,1,54,61,0
50462,25.78,1,18,0,1,5,22,0
50463,80.6,1,1,0,2,19,35,0
50464,66.26,1,21,0,0,47,22,0
50465,56.26,1,20,0,2,72,35,0
50466,22.29,1,18,0,5,13,56,0
50467,130.03,1,6,0,4,48,18,0
50468,241.34,3,18,0,8,29,30,0
50469,35.16,1,20,0,1,30,32,0
50470,19.22,3,2,0,0,55,39,0
50471,21.32,1,19,0,5,18,37,0
50472,101.34,3,19,0,2,58,46,0
50473,41.27,3,4,0,7,2,55,0
50474,26.62,1,14,0,0,3,18,0
50475,13.89,3,18,0,2,12,50,0
50476,60.47,1,0,0,2,24,40,0
50477,80.71,1,9,0,1,10,48,0
50478,33.04,1,23,0,7,32,38,0
50479,51.91,2,7,0,1,41,61,0
50480,69.39,1,6,0,19,44,40,0
50481,120.42,1,23,0,1,16,65,0
50482,11.62,2,8,0,7,38,67,0
50483,14.36,1,14,0,3,39,40,0
50484,21.53,3,17,0,10,8,51,0
50485,37.72,2,0,0,0,30,47,0
50486,19.86,3,12,1,4,46,48,1
50487,25.19,1,2,0,0,12,18,0
50488,92.47,1,20,0,1,127,18,0
50489,5.53,2,7,0,5,113,46,0
50490,12.97,2,18,0,2,28,59,0
50491,14.91,1,0,0,5,17,50,0
50492,183.95,1,10,0,1,41,53,0
50493,40.08,1,19,0,10,4,48,0
50494,48.59,1,21,0,3,20,45,0
50495,12.21,3,18,0,4,1,59,0
50496,19.1,1,20,0,2,34,37,0
50497,2.0,1,10,0,1,31,57,0
50498,38.76,1,15,0,1,33,41,0
50499,15.01,2,8,0,0,13,43,0
50500,4.39,1,20,0,1,5,64,0
50501,53.09,1,2,0,2,10,47,0
50502,10.64,1,14,0,8,14,51,0
50503,40.54,1,10,0,2,76,58,0
50504,51.69,2,10,0,1,42,18,0
50505,1314.62,2,15,0,1,11,50,1
50506,21.44,1,6,0,2,2,46,0
50507,45.68,1,10,0,0,1,22,0
50508,33.47,1,2,0,0,7,38,0
50509,13.2,1,22,0,3,5,49,0
50510,46.37,3,13,0,3,17,29,0
50511,96.94,1,6,0,1,15,48,0
50512,72.29,1,20,0,1,8,32,0
50513,87.52,3,11,0,2,56,33,0
50514,12.68,1,16,0,1,71,35,0
50515,39.24,1,8,0,3,32,56,0
50516,4.5,1,14,0,7,20,65,0
50517,3.78,3,21,0,2,0,53,0
50518,324.38,3,8,0,5,15,36,0
50519,41.25,2,1,0,3,27,52,0
50520,80.85,1,17,0,0,18,56,0
50521,81.22,1,13,0,0,15,42,0
50522,34.29,1,15,0,0,89,30,0
50523,201.7,1,12,0,1,45,70,1
50524,29.77,1,12,0,4,182,39,0
50525,2.16,1,17,0,1,2,43,0
50526,44.77,3,11,0,1,14,35,0
50527,120.48,1,13,0,0,29,70,0
50528,5.7,2,9,0,2,38,64,0
50529,24.7,1,16,0,0,20,50,0
50530,150.93,2,13,0,7,2,59,0
50531,113.05,1,17,0,0,4,42,1
50532,30.06,1,2,0,1,17,60,0
50533,13.08,3,9,0,2,70,44,0
50534,35.28,1,17,0,4,17,48,0
50535,48.79,1,8,0,7,57,34,0
50536,93.23,3,6,0,1,52,18,0
50537,29.49,3,20,0,10,46,33,0
50538,268.04,3,16,0,1,9,44,0
50539,48.07,1,11,0,5,6,33,0
50540,22.46,1,14,0,0,25,81,0
50541,17.27,1,19,0,2,7,58,0
50542,11.66,1,9,0,2,7,49,0
50543,134.03,3,7,0,3,103,46,0
50544,27.35,1,13,0,2,103,48,0
50545,2.0,1,8,0,4,81,61,0
50546,21.38,2,9,0,0,4,44,0
50547,175.51,1,19,1,4,23,35,0
50548,19.47,2,3,0,2,6,37,0
50549,6.14,1,12,0,6,6,26,0
50550,19.08,1,10,0,7,29,31,0
50551,76.1,3,14,0,2,102,56,0
50552,25.72,3,6,1,2,3,55,0
50553,10.47,1,13,1,1,26,56,0
50554,75.23,1,16,0,1,19,27,0
50555,157.45,1,10,0,2,6,60,0
50556,235.24,3,8,0,4,65,38,0
50557,45.83,1,14,0,4,11,38,0
50558,27.97,1,22,0,4,34,30,0
50559,61.86,3,23,0,3,55,23,0
50560,180.25,1,5,0,2,16,29,0
50561,135.89,1,0,1,1,29,31,0
50562,32.05,1,13,0,3,34,37,0
50563,10.26,2,9,0,0,3,57,0
50564,48.52,3,17,0,1,14,57,0
50565,34.79,1,19,0,5,111,57,0
50566,63.91,2,10,0,4,91,37,0
50567,8.55,1,22,0,4,79,36,0
50568,15.07,1,9,0,0,55,59,0
50569,111.12,3,6,0,0,51,21,0
50570,45.2,1,10,0,1,15,18,0
50571,7.68,3,17,0,2,18,25,0
50572,194.39,1,20,0,1,9,48,0
50573,24.2,3,18,0,7,54,43,0
50574,58.18,1,19,0,1,105,25,0
50575,18.87,3,9,0,10,27,46,0
50576,50.61,1,19,0,0,74,53,0
50577,194.86,1,18,0,5,20,82,0
50578,196.22,1,15,1,1,2,64,0
50579,265.25,1,20,0,0,9,48,0
50580,19.11,1,9,0,1,56,58,0
50581,82.33,3,11,0,2,66,82,0
50582,4.05,3,8,0,2,27,31,0
50583,54.32,1,13,0,8,7,23,0
50584,394.23,3,2,0,0,31,61,0
50585,7.38,3,1,0,2,64,41,0
50586,12.06,3,3,0,2,80,28,0
50587,29.56,1,8,0,3,12,42,0
50588,25.99,2,6,0,4,4,31,0
50589,104.29,1,19,0,0,136,28,0
50590,95.62,3,19,0,4,3,54,0
50591,2.54,1,13,0,1,29,35,0
50592,9.21,3,9,1,1,20,22,0
50593,29.34,1,8,0,2,51,45,0
50594,17.05,2,11,0,1,7,38,0
50595,57.61,1,20,0,3,11,50,0
50596,61.25,1,14,0,0,42,41,0
50597,2.0,1,20,0,1,74,36,0
50598,24.04,1,14,0,3,23,63,0
50599,11.94,3,8,0,1,83,27,0
50600,42.12,1,7,0,2,31,61,0
50601,86.43,1,15,0,1,28,45,0
50602,27.6,1,13,0,3,25,59,0
50603,6.88,1,10,0,2,9,44,0
50604,202.49,1,9,1,3,9,49,0
50605,13.11,1,20,0,1,69,50,0
50606,18.44,1,14,0,1,103,65,0
50607,3.07,3,23,0,2,5,49,0
50608,73.03,1,12,0,1,0,25,0
50609,37.35,3,12,1,4,105,48,0
50610,69.32,1,14,0,2,9,60,0
50611,12.8,3,16,0,3,59,62,0
50612,85.16,2,21,1,1,145,38,0
50613,230.52,1,0,0,2,1,35,0
50614,2.0,1,7,0,5,41,27,0
50615,65.21,1,10,0,2,11,57,0
50616,5.46,1,14,0,1,150,56,0
50617,65.81,1,0,0,7,93,67,0
50618,147.27,1,19,0,0,40,35,0
50619,9.53,3,15,0,0,67,47,0
50620,12.76,1,14,0,7,27,42,0
50621,43.69,1,16,0,1,14,36,0
50622,35.87,3,10,0,1,26,43,0
50623,6.18,1,16,0,7,1,27,0
50624,17.48,1,8,0,0,74,55,0
50625,13.42,1,8,0,1,7,59,0
50626,27.19,1,19,0,4,26,54,0
50627,358.09,1,7,0,0,15,44,0
50628,44.9,3,19,0,7,13,57,0
50629,9.05,3,12,0,1,7,38,0
50630,52.11,2,3,1,7,26,23,0
50631,26.19,1,6,0,1,51,40,0
50632,237.4,1,9,0,0,55,35,0
50633,20.5,1,14,0,0,16,80,0
50634,24.68,1,12,0,1,0,56,0
50635,155.37,1,23,0,5,26,44,0
50636,12.16,1,23,0,2,15,62,0
50637,7.77,3,9,0,2,57,54,0
50638,52.09,2,10,0,1,109,46,0
50639,45.62,1,0,0,1,15,42,0
50640,6.5,1,13,0,2,33,32,0
50641,2.75,1,6,0,1,21,50,0
50642,55.56,3,11,0,8,4,58,0
50643,55.11,1,9,0,1,23,25,0
50644,73.96,1,13,0,2,9,51,0
50645,135.62,1,8,0,4,3,51,0
50646,41.68,3,11,0,0,14,32,0
50647,29.94,3,12,0,5,1,44,0
50648,93.03,1,11,0,0,24,22,0
50649,41.79,1,11,0,1,2,47,0
50650,5.23,3,10,0,3,40,51,0
50651,49.57,3,9,0,1,75,55,0
50652,85.35,1,9,0,3,15,50,0
50653,11.2,1,14,0,2,19,60,0
50654,338.82,1,11,0,4,5,34,0
50655,24.25,1,13,0,1,17,55,0
50656,147.81,3,18,0,3,44,39,0
50657,10.2,3,10,0,3,6,32,1
50658,107.15,1,2,0,0,40,36,0
50659,218.6,1,16,0,1,249,27,0
50660,12.93,1,10,0,1,22,49,0
